,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,44,3.40%,349,2.72%,3624,2.81%,34844,2.70%
Mediterranean Avenue,25,1.93%,267,2.08%,2626,2.03%,25768,2.00%
Community Chest,26,2.01%,236,1.84%,2440,1.89%,25254,1.96%
Baltic Avenue,23,1.78%,251,1.95%,2578,2.00%,26122,2.02%
Income Tax,38,2.94%,311,2.42%,2872,2.23%,28483,2.21%
Reading Railroad,37,2.86%,386,3.01%,4039,3.13%,40190,3.11%
Oriental Avenue,28,2.16%,278,2.16%,2762,2.14%,27029,2.09%
Chance,35,2.70%,279,2.17%,2733,2.12%,27835,2.16%
Vermont Avenue,27,2.09%,294,2.29%,2725,2.11%,28173,2.18%
Connecticut Avenue,22,1.70%,297,2.31%,2869,2.22%,28125,2.18%
Jail,74,5.72%,819,6.38%,8068,6.25%,81223,6.29%
St. Charles Place,31,2.40%,271,2.11%,2726,2.11%,27321,2.12%
Electric Company,35,2.70%,317,2.47%,3205,2.48%,32181,2.49%
States Avenue,26,2.01%,246,1.92%,2946,2.28%,29091,2.25%
Virginia Avenue,35,2.70%,286,2.23%,2924,2.27%,29575,2.29%
Pennsylvania Railroad,41,3.17%,333,2.59%,3288,2.55%,33037,2.56%
St. James Place,33,2.55%,375,2.92%,3238,2.51%,33134,2.57%
Community Chest,27,2.09%,321,2.50%,3449,2.67%,33613,2.60%
Tennessee Avenue,30,2.32%,323,2.51%,3423,2.65%,34417,2.67%
New York Avenue,25,1.93%,372,2.90%,3571,2.77%,36079,2.80%
Free Parking,30,2.32%,334,2.60%,3410,2.64%,34055,2.64%
Kentucky Avenue,38,2.94%,327,2.55%,3315,2.57%,33298,2.58%
Chance,27,2.09%,322,2.51%,3240,2.51%,32750,2.54%
Indiana Avenue,36,2.78%,342,2.66%,3252,2.52%,32544,2.52%
Illinois Avenue,51,3.94%,393,3.06%,3864,2.99%,38150,2.96%
B. & O. Railroad,32,2.47%,328,2.55%,3400,2.63%,34233,2.65%
Atlantic Avenue,35,2.70%,290,2.26%,3257,2.52%,32042,2.48%
Ventnor Avenue,22,1.70%,306,2.38%,3156,2.45%,31369,2.43%
Water Works,28,2.16%,314,2.44%,3333,2.58%,33159,2.57%
Marvin Gardens,37,2.86%,301,2.34%,3025,2.34%,30197,2.34%
Go To Jail,18,1.39%,307,2.39%,3040,2.36%,30858,2.39%
Pacific Avenue,31,2.40%,326,2.54%,3207,2.49%,31207,2.42%
North Carolina Avenue,33,2.55%,299,2.33%,3142,2.43%,30342,2.35%
Community Chest,31,2.40%,288,2.24%,2938,2.28%,30424,2.36%
Pennsylvania Avenue,27,2.09%,310,2.41%,2871,2.22%,29389,2.28%
Short Line,35,2.70%,349,2.72%,3407,2.64%,34291,2.66%
Chance,36,2.78%,257,2.00%,2813,2.18%,27131,2.10%
Park Place,24,1.85%,246,1.92%,2509,1.94%,25971,2.01%
Luxury Tax,24,1.85%,270,2.10%,2679,2.08%,25782,2.00%
Boardwalk,37,2.86%,324,2.52%,3089,2.39%,31843,2.47%
