,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,39,2.97%,337,2.61%,3451,2.67%,34880,2.70%
Mediterranean Avenue,25,1.90%,281,2.18%,2613,2.02%,25906,2.01%
Community Chest,33,2.51%,251,1.94%,2607,2.02%,25608,1.98%
Baltic Avenue,26,1.98%,255,1.97%,2601,2.01%,26094,2.02%
Income Tax,28,2.13%,244,1.89%,2824,2.19%,28338,2.19%
Reading Railroad,36,2.74%,403,3.12%,4013,3.11%,39861,3.09%
Oriental Avenue,25,1.90%,292,2.26%,2780,2.15%,27107,2.10%
Chance,25,1.90%,294,2.28%,2836,2.20%,27852,2.16%
Vermont Avenue,23,1.75%,285,2.21%,2738,2.12%,28304,2.19%
Connecticut Avenue,35,2.66%,276,2.14%,2843,2.20%,27986,2.17%
Jail,83,6.32%,808,6.26%,8141,6.31%,81046,6.28%
St. Charles Place,28,2.13%,277,2.14%,2648,2.05%,27448,2.13%
Electric Company,33,2.51%,311,2.41%,3280,2.54%,32078,2.48%
States Avenue,29,2.21%,300,2.32%,3006,2.33%,28947,2.24%
Virginia Avenue,31,2.36%,272,2.11%,2912,2.26%,29773,2.31%
Pennsylvania Railroad,30,2.28%,342,2.65%,3264,2.53%,33197,2.57%
St. James Place,39,2.97%,329,2.55%,3274,2.54%,33111,2.56%
Community Chest,32,2.44%,316,2.45%,3390,2.63%,33319,2.58%
Tennessee Avenue,46,3.50%,344,2.66%,3413,2.64%,34506,2.67%
New York Avenue,36,2.74%,397,3.07%,3624,2.81%,36305,2.81%
Free Parking,37,2.82%,363,2.81%,3360,2.60%,33742,2.61%
Kentucky Avenue,23,1.75%,329,2.55%,3303,2.56%,33503,2.59%
Chance,44,3.35%,355,2.75%,3201,2.48%,32918,2.55%
Indiana Avenue,33,2.51%,300,2.32%,3318,2.57%,32269,2.50%
Illinois Avenue,36,2.74%,372,2.88%,3815,2.96%,38516,2.98%
B. & O. Railroad,31,2.36%,308,2.39%,3453,2.67%,34354,2.66%
Atlantic Avenue,34,2.59%,306,2.37%,3144,2.44%,31733,2.46%
Ventnor Avenue,28,2.13%,332,2.57%,3202,2.48%,31389,2.43%
Water Works,35,2.66%,361,2.80%,3257,2.52%,33053,2.56%
Marvin Gardens,27,2.05%,293,2.27%,3138,2.43%,30216,2.34%
Go To Jail,25,1.90%,323,2.50%,3096,2.40%,30641,2.37%
Pacific Avenue,33,2.51%,322,2.49%,3075,2.38%,31377,2.43%
North Carolina Avenue,38,2.89%,284,2.20%,3067,2.38%,30829,2.39%
Community Chest,31,2.36%,325,2.52%,3010,2.33%,30655,2.37%
Pennsylvania Avenue,21,1.60%,281,2.18%,2853,2.21%,29194,2.26%
Short Line,37,2.82%,343,2.66%,3544,2.75%,34237,2.65%
Chance,30,2.28%,261,2.02%,2625,2.03%,27259,2.11%
Park Place,33,2.51%,255,1.97%,2564,1.99%,25770,2.00%
Luxury Tax,28,2.13%,252,1.95%,2690,2.08%,25861,2.00%
Boardwalk,28,2.13%,335,2.59%,3115,2.41%,31961,2.48%
