,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,35,2.68%,346,2.68%,3444,2.67%,34894,2.70%
Mediterranean Avenue,24,1.84%,231,1.79%,2558,1.98%,26049,2.02%
Community Chest,27,2.07%,264,2.05%,2529,1.96%,25429,1.97%
Baltic Avenue,25,1.91%,258,2.00%,2642,2.05%,26167,2.03%
Income Tax,34,2.60%,287,2.22%,2807,2.18%,28265,2.19%
Reading Railroad,32,2.45%,379,2.94%,4021,3.12%,39892,3.09%
Oriental Avenue,26,1.99%,311,2.41%,2766,2.14%,27368,2.12%
Chance,26,1.99%,280,2.17%,2785,2.16%,27660,2.14%
Vermont Avenue,26,1.99%,268,2.08%,2753,2.13%,28030,2.17%
Connecticut Avenue,33,2.53%,276,2.14%,2875,2.23%,28185,2.18%
Jail,95,7.27%,818,6.34%,7939,6.15%,81408,6.31%
St. Charles Place,27,2.07%,289,2.24%,2766,2.14%,27705,2.15%
Electric Company,29,2.22%,328,2.54%,3225,2.50%,31858,2.47%
States Avenue,27,2.07%,273,2.12%,2900,2.25%,28728,2.23%
Virginia Avenue,28,2.14%,310,2.40%,3010,2.33%,29632,2.30%
Pennsylvania Railroad,37,2.83%,311,2.41%,3344,2.59%,33134,2.57%
St. James Place,38,2.91%,339,2.63%,3276,2.54%,33054,2.56%
Community Chest,28,2.14%,322,2.50%,3398,2.63%,33767,2.62%
Tennessee Avenue,31,2.37%,346,2.68%,3396,2.63%,34414,2.67%
New York Avenue,48,3.68%,377,2.92%,3479,2.70%,36252,2.81%
Free Parking,31,2.37%,362,2.81%,3443,2.67%,34000,2.63%
Kentucky Avenue,35,2.68%,333,2.58%,3359,2.60%,33167,2.57%
Chance,33,2.53%,360,2.79%,3273,2.54%,32774,2.54%
Indiana Avenue,28,2.14%,305,2.36%,3191,2.47%,32443,2.51%
Illinois Avenue,39,2.99%,351,2.72%,3836,2.97%,38068,2.95%
B. & O. Railroad,35,2.68%,354,2.74%,3421,2.65%,34069,2.64%
Atlantic Avenue,35,2.68%,322,2.50%,3113,2.41%,31907,2.47%
Ventnor Avenue,25,1.91%,293,2.27%,3158,2.45%,31616,2.45%
Water Works,39,2.99%,354,2.74%,3368,2.61%,32855,2.55%
Marvin Gardens,34,2.60%,307,2.38%,3141,2.44%,30343,2.35%
Go To Jail,39,2.99%,321,2.49%,2977,2.31%,30845,2.39%
Pacific Avenue,33,2.53%,309,2.40%,3100,2.40%,30957,2.40%
North Carolina Avenue,26,1.99%,265,2.05%,3102,2.40%,30554,2.37%
Community Chest,40,3.06%,323,2.50%,3032,2.35%,30754,2.38%
Pennsylvania Avenue,20,1.53%,286,2.22%,2936,2.28%,29303,2.27%
Short Line,32,2.45%,335,2.60%,3366,2.61%,34520,2.67%
Chance,19,1.45%,279,2.16%,2796,2.17%,27188,2.11%
Park Place,28,2.14%,234,1.81%,2575,2.00%,25376,1.97%
Luxury Tax,30,2.30%,265,2.05%,2698,2.09%,26093,2.02%
Boardwalk,29,2.22%,330,2.56%,3191,2.47%,31877,2.47%
