,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,33,2.55%,364,2.80%,3422,2.65%,35277,2.73%
Mediterranean Avenue,20,1.54%,257,1.98%,2538,1.97%,25811,2.00%
Community Chest,23,1.78%,252,1.94%,2546,1.97%,25433,1.97%
Baltic Avenue,23,1.78%,271,2.08%,2607,2.02%,26116,2.02%
Income Tax,32,2.47%,300,2.31%,2838,2.20%,28291,2.19%
Reading Railroad,42,3.24%,389,2.99%,3981,3.08%,40216,3.12%
Oriental Avenue,28,2.16%,255,1.96%,2782,2.15%,27197,2.11%
Chance,28,2.16%,273,2.10%,2689,2.08%,27709,2.15%
Vermont Avenue,21,1.62%,292,2.24%,2871,2.22%,28178,2.18%
Connecticut Avenue,29,2.24%,278,2.14%,2877,2.23%,28055,2.17%
Jail,84,6.49%,818,6.29%,8034,6.22%,80988,6.28%
St. Charles Place,30,2.32%,278,2.14%,2795,2.16%,27564,2.14%
Electric Company,31,2.39%,324,2.49%,3166,2.45%,32308,2.50%
States Avenue,27,2.08%,291,2.24%,2899,2.25%,28923,2.24%
Virginia Avenue,35,2.70%,301,2.31%,2987,2.31%,29436,2.28%
Pennsylvania Railroad,39,3.01%,356,2.74%,3288,2.55%,33284,2.58%
St. James Place,20,1.54%,320,2.46%,3283,2.54%,32759,2.54%
Community Chest,28,2.16%,360,2.77%,3334,2.58%,33361,2.59%
Tennessee Avenue,40,3.09%,316,2.43%,3454,2.67%,34040,2.64%
New York Avenue,39,3.01%,379,2.91%,3561,2.76%,36171,2.80%
Free Parking,28,2.16%,324,2.49%,3406,2.64%,34041,2.64%
Kentucky Avenue,36,2.78%,338,2.60%,3350,2.59%,33555,2.60%
Chance,38,2.93%,373,2.87%,3317,2.57%,33098,2.57%
Indiana Avenue,36,2.78%,336,2.58%,3267,2.53%,32284,2.50%
Illinois Avenue,35,2.70%,366,2.81%,3768,2.92%,38384,2.98%
B. & O. Railroad,26,2.01%,351,2.70%,3430,2.66%,34050,2.64%
Atlantic Avenue,45,3.47%,313,2.41%,3231,2.50%,31805,2.47%
Ventnor Avenue,30,2.32%,312,2.40%,3182,2.46%,31469,2.44%
Water Works,26,2.01%,326,2.51%,3289,2.55%,33189,2.57%
Marvin Gardens,33,2.55%,283,2.18%,2956,2.29%,29992,2.32%
Go To Jail,34,2.63%,295,2.27%,3089,2.39%,30707,2.38%
Pacific Avenue,35,2.70%,334,2.57%,3108,2.41%,31314,2.43%
North Carolina Avenue,25,1.93%,322,2.47%,3126,2.42%,30654,2.38%
Community Chest,36,2.78%,300,2.31%,3074,2.38%,30613,2.37%
Pennsylvania Avenue,22,1.70%,314,2.41%,2832,2.19%,29080,2.25%
Short Line,34,2.63%,324,2.49%,3455,2.68%,34183,2.65%
Chance,34,2.63%,271,2.08%,2744,2.13%,27308,2.12%
Park Place,23,1.78%,270,2.08%,2623,2.03%,25640,1.99%
Luxury Tax,29,2.24%,248,1.91%,2661,2.06%,26122,2.02%
Boardwalk,38,2.93%,337,2.59%,3263,2.53%,31465,2.44%
