,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,46,3.52%,364,2.81%,3411,2.64%,35070,2.72%
Mediterranean Avenue,17,1.30%,250,1.93%,2618,2.03%,25715,1.99%
Community Chest,18,1.38%,282,2.18%,2509,1.95%,25133,1.95%
Baltic Avenue,24,1.83%,249,1.92%,2579,2.00%,26357,2.04%
Income Tax,27,2.06%,260,2.01%,2822,2.19%,28142,2.18%
Reading Railroad,38,2.91%,409,3.16%,4103,3.18%,40077,3.11%
Oriental Avenue,35,2.68%,290,2.24%,2686,2.08%,27221,2.11%
Chance,30,2.29%,294,2.27%,2771,2.15%,27708,2.15%
Vermont Avenue,30,2.29%,275,2.12%,2803,2.17%,28072,2.18%
Connecticut Avenue,27,2.06%,294,2.27%,2801,2.17%,27874,2.16%
Jail,86,6.57%,790,6.10%,7924,6.14%,80940,6.27%
St. Charles Place,26,1.99%,296,2.29%,2781,2.16%,27811,2.16%
Electric Company,30,2.29%,320,2.47%,3284,2.55%,32026,2.48%
States Avenue,33,2.52%,290,2.24%,2897,2.25%,29060,2.25%
Virginia Avenue,22,1.68%,293,2.26%,2929,2.27%,29278,2.27%
Pennsylvania Railroad,45,3.44%,352,2.72%,3336,2.59%,33341,2.58%
St. James Place,39,2.98%,339,2.62%,3393,2.63%,33039,2.56%
Community Chest,39,2.98%,351,2.71%,3347,2.59%,33405,2.59%
Tennessee Avenue,32,2.45%,309,2.39%,3317,2.57%,34253,2.66%
New York Avenue,29,2.22%,343,2.65%,3692,2.86%,36279,2.81%
Free Parking,26,1.99%,341,2.63%,3377,2.62%,33618,2.61%
Kentucky Avenue,31,2.37%,343,2.65%,3290,2.55%,33650,2.61%
Chance,32,2.45%,336,2.59%,3232,2.51%,32849,2.55%
Indiana Avenue,28,2.14%,321,2.48%,3220,2.50%,32175,2.49%
Illinois Avenue,54,4.13%,381,2.94%,3760,2.91%,38530,2.99%
B. & O. Railroad,40,3.06%,325,2.51%,3405,2.64%,34214,2.65%
Atlantic Avenue,20,1.53%,316,2.44%,3315,2.57%,31896,2.47%
Ventnor Avenue,36,2.75%,321,2.48%,3134,2.43%,31418,2.44%
Water Works,37,2.83%,360,2.78%,3330,2.58%,32822,2.54%
Marvin Gardens,31,2.37%,283,2.19%,3022,2.34%,30306,2.35%
Go To Jail,27,2.06%,287,2.22%,3046,2.36%,30892,2.39%
Pacific Avenue,23,1.76%,324,2.50%,3080,2.39%,31134,2.41%
North Carolina Avenue,29,2.22%,286,2.21%,3120,2.42%,30492,2.36%
Community Chest,38,2.91%,317,2.45%,3025,2.35%,30710,2.38%
Pennsylvania Avenue,24,1.83%,289,2.23%,2966,2.30%,29056,2.25%
Short Line,37,2.83%,344,2.66%,3477,2.70%,34190,2.65%
Chance,31,2.37%,283,2.19%,2779,2.15%,27444,2.13%
Park Place,19,1.45%,234,1.81%,2590,2.01%,26065,2.02%
Luxury Tax,29,2.22%,256,1.98%,2624,2.03%,25886,2.01%
Boardwalk,43,3.29%,354,2.73%,3199,2.48%,31829,2.47%
