,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,33,2.53%,356,2.75%,3502,2.72%,34775,2.70%
Mediterranean Avenue,26,1.99%,259,2.00%,2586,2.01%,26033,2.02%
Community Chest,26,1.99%,261,2.01%,2513,1.95%,25530,1.98%
Baltic Avenue,27,2.07%,264,2.04%,2617,2.03%,26143,2.03%
Income Tax,23,1.76%,271,2.09%,2918,2.26%,28183,2.18%
Reading Railroad,46,3.52%,405,3.13%,3976,3.09%,39780,3.08%
Oriental Avenue,32,2.45%,278,2.15%,2792,2.17%,27319,2.12%
Chance,23,1.76%,287,2.22%,2728,2.12%,27882,2.16%
Vermont Avenue,34,2.61%,270,2.08%,2909,2.26%,28103,2.18%
Connecticut Avenue,25,1.92%,289,2.23%,2742,2.13%,27910,2.16%
Jail,81,6.21%,815,6.29%,7955,6.17%,80856,6.27%
St. Charles Place,27,2.07%,292,2.25%,2751,2.14%,27742,2.15%
Electric Company,28,2.15%,328,2.53%,3268,2.54%,32127,2.49%
States Avenue,29,2.22%,284,2.19%,2890,2.24%,29082,2.25%
Virginia Avenue,39,2.99%,293,2.26%,2877,2.23%,29751,2.31%
Pennsylvania Railroad,40,3.07%,320,2.47%,3383,2.63%,33090,2.57%
St. James Place,35,2.68%,347,2.68%,3337,2.59%,33039,2.56%
Community Chest,25,1.92%,339,2.62%,3304,2.56%,33342,2.58%
Tennessee Avenue,35,2.68%,341,2.63%,3356,2.60%,34237,2.65%
New York Avenue,35,2.68%,347,2.68%,3723,2.89%,36263,2.81%
Free Parking,30,2.30%,325,2.51%,3381,2.62%,34019,2.64%
Kentucky Avenue,32,2.45%,340,2.62%,3356,2.60%,33533,2.60%
Chance,35,2.68%,340,2.62%,3267,2.54%,32803,2.54%
Indiana Avenue,30,2.30%,346,2.67%,3155,2.45%,32164,2.49%
Illinois Avenue,30,2.30%,379,2.93%,3744,2.91%,38054,2.95%
B. & O. Railroad,42,3.22%,324,2.50%,3403,2.64%,33980,2.63%
Atlantic Avenue,44,3.37%,325,2.51%,3269,2.54%,31904,2.47%
Ventnor Avenue,33,2.53%,330,2.55%,3211,2.49%,31850,2.47%
Water Works,31,2.38%,317,2.45%,3260,2.53%,32919,2.55%
Marvin Gardens,31,2.38%,300,2.32%,3024,2.35%,30005,2.33%
Go To Jail,25,1.92%,315,2.43%,2997,2.33%,30801,2.39%
Pacific Avenue,21,1.61%,292,2.25%,3150,2.44%,31467,2.44%
North Carolina Avenue,32,2.45%,326,2.52%,3077,2.39%,30615,2.37%
Community Chest,33,2.53%,321,2.48%,3035,2.36%,30382,2.36%
Pennsylvania Avenue,28,2.15%,289,2.23%,2847,2.21%,29266,2.27%
Short Line,47,3.60%,353,2.72%,3428,2.66%,34034,2.64%
Chance,30,2.30%,274,2.11%,2725,2.12%,27168,2.11%
Park Place,24,1.84%,289,2.23%,2557,1.98%,26119,2.02%
Luxury Tax,28,2.15%,228,1.76%,2646,2.05%,26080,2.02%
Boardwalk,30,2.30%,298,2.30%,3182,2.47%,31683,2.46%
