,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,24,1.89%,356,2.77%,3410,2.64%,35104,2.72%
Mediterranean Avenue,29,2.29%,273,2.13%,2621,2.03%,25623,1.99%
Community Chest,29,2.29%,258,2.01%,2511,1.95%,25597,1.99%
Baltic Avenue,24,1.89%,266,2.07%,2565,1.99%,26256,2.04%
Income Tax,24,1.89%,284,2.21%,2807,2.18%,28028,2.17%
Reading Railroad,39,3.08%,383,2.98%,4017,3.11%,40341,3.13%
Oriental Avenue,35,2.76%,282,2.20%,2713,2.10%,27138,2.10%
Chance,18,1.42%,245,1.91%,2744,2.13%,27773,2.15%
Vermont Avenue,23,1.82%,271,2.11%,2816,2.18%,28112,2.18%
Connecticut Avenue,21,1.66%,320,2.49%,2807,2.18%,27990,2.17%
Jail,85,6.71%,798,6.22%,8240,6.39%,80613,6.25%
St. Charles Place,31,2.45%,276,2.15%,2796,2.17%,27597,2.14%
Electric Company,33,2.60%,322,2.51%,3207,2.49%,32311,2.51%
States Avenue,29,2.29%,283,2.21%,2857,2.21%,29012,2.25%
Virginia Avenue,38,3.00%,333,2.59%,2994,2.32%,29545,2.29%
Pennsylvania Railroad,22,1.74%,320,2.49%,3267,2.53%,32904,2.55%
St. James Place,35,2.76%,337,2.63%,3311,2.57%,33105,2.57%
Community Chest,34,2.68%,297,2.31%,3380,2.62%,33498,2.60%
Tennessee Avenue,30,2.37%,340,2.65%,3416,2.65%,34143,2.65%
New York Avenue,40,3.16%,396,3.09%,3631,2.81%,36097,2.80%
Free Parking,29,2.29%,329,2.56%,3362,2.61%,33848,2.63%
Kentucky Avenue,30,2.37%,342,2.67%,3332,2.58%,33335,2.59%
Chance,33,2.60%,357,2.78%,3343,2.59%,33050,2.56%
Indiana Avenue,37,2.92%,330,2.57%,3193,2.48%,32592,2.53%
Illinois Avenue,36,2.84%,366,2.85%,3762,2.92%,38041,2.95%
B. & O. Railroad,38,3.00%,341,2.66%,3455,2.68%,34337,2.66%
Atlantic Avenue,33,2.60%,323,2.52%,3225,2.50%,31743,2.46%
Ventnor Avenue,26,2.05%,317,2.47%,3103,2.41%,31709,2.46%
Water Works,36,2.84%,289,2.25%,3262,2.53%,33088,2.57%
Marvin Gardens,30,2.37%,270,2.10%,3028,2.35%,29837,2.31%
Go To Jail,33,2.60%,312,2.43%,3112,2.41%,30559,2.37%
Pacific Avenue,28,2.21%,326,2.54%,3161,2.45%,31204,2.42%
North Carolina Avenue,29,2.29%,310,2.42%,3085,2.39%,30592,2.37%
Community Chest,28,2.21%,317,2.47%,2994,2.32%,30533,2.37%
Pennsylvania Avenue,35,2.76%,272,2.12%,2864,2.22%,29278,2.27%
Short Line,22,1.74%,354,2.76%,3403,2.64%,34424,2.67%
Chance,31,2.45%,242,1.89%,2757,2.14%,26944,2.09%
Park Place,30,2.37%,243,1.89%,2635,2.04%,25780,2.00%
Luxury Tax,23,1.82%,244,1.90%,2600,2.02%,25979,2.01%
Boardwalk,37,2.92%,309,2.41%,3204,2.48%,31774,2.46%
