,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,26,2.08%,360,2.80%,3509,2.72%,34799,2.70%
Mediterranean Avenue,21,1.68%,273,2.12%,2595,2.01%,25790,2.00%
Community Chest,24,1.92%,274,2.13%,2501,1.94%,25401,1.97%
Baltic Avenue,30,2.40%,240,1.86%,2673,2.07%,26280,2.04%
Income Tax,21,1.68%,280,2.17%,2870,2.23%,28256,2.19%
Reading Railroad,39,3.12%,395,3.07%,3974,3.08%,40176,3.11%
Oriental Avenue,30,2.40%,265,2.06%,2708,2.10%,27319,2.12%
Chance,24,1.92%,272,2.11%,2731,2.12%,27698,2.15%
Vermont Avenue,26,2.08%,288,2.24%,2879,2.23%,28010,2.17%
Connecticut Avenue,36,2.88%,261,2.03%,2918,2.26%,28221,2.19%
Jail,75,6.00%,809,6.28%,8042,6.24%,80895,6.27%
St. Charles Place,28,2.24%,278,2.16%,2768,2.15%,27619,2.14%
Electric Company,33,2.64%,367,2.85%,3117,2.42%,32297,2.50%
States Avenue,20,1.60%,273,2.12%,2893,2.25%,28854,2.24%
Virginia Avenue,28,2.24%,296,2.30%,3005,2.33%,29538,2.29%
Pennsylvania Railroad,43,3.44%,327,2.54%,3276,2.54%,33381,2.59%
St. James Place,22,1.76%,307,2.38%,3290,2.55%,33033,2.56%
Community Chest,31,2.48%,340,2.64%,3396,2.64%,33492,2.60%
Tennessee Avenue,39,3.12%,341,2.65%,3417,2.65%,34153,2.65%
New York Avenue,36,2.88%,399,3.10%,3525,2.74%,36272,2.81%
Free Parking,36,2.88%,341,2.65%,3419,2.65%,33874,2.63%
Kentucky Avenue,36,2.88%,354,2.75%,3355,2.60%,33265,2.58%
Chance,35,2.80%,318,2.47%,3307,2.57%,33032,2.56%
Indiana Avenue,25,2.00%,320,2.49%,3199,2.48%,32267,2.50%
Illinois Avenue,42,3.36%,398,3.09%,3787,2.94%,38083,2.95%
B. & O. Railroad,31,2.48%,337,2.62%,3406,2.64%,34352,2.66%
Atlantic Avenue,35,2.80%,285,2.21%,3101,2.41%,31862,2.47%
Ventnor Avenue,33,2.64%,328,2.55%,3233,2.51%,31683,2.46%
Water Works,22,1.76%,333,2.59%,3346,2.60%,32626,2.53%
Marvin Gardens,29,2.32%,272,2.11%,3031,2.35%,30352,2.35%
Go To Jail,30,2.40%,304,2.36%,3024,2.35%,30729,2.38%
Pacific Avenue,38,3.04%,318,2.47%,3140,2.44%,31436,2.44%
North Carolina Avenue,38,3.04%,287,2.23%,3035,2.36%,30402,2.36%
Community Chest,27,2.16%,317,2.46%,3121,2.42%,30663,2.38%
Pennsylvania Avenue,34,2.72%,319,2.48%,2871,2.23%,29258,2.27%
Short Line,20,1.60%,311,2.42%,3394,2.63%,34149,2.65%
Chance,22,1.76%,268,2.08%,2649,2.06%,27022,2.09%
Park Place,25,2.00%,233,1.81%,2596,2.01%,25986,2.01%
Luxury Tax,32,2.56%,279,2.17%,2623,2.04%,25774,2.00%
Boardwalk,29,2.32%,309,2.40%,3122,2.42%,31910,2.47%
