,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,45,3.44%,354,2.76%,3457,2.68%,35133,2.72%
Mediterranean Avenue,28,2.14%,245,1.91%,2577,2.00%,25775,2.00%
Community Chest,20,1.53%,262,2.04%,2549,1.97%,25521,1.98%
Baltic Avenue,28,2.14%,252,1.96%,2646,2.05%,25928,2.01%
Income Tax,31,2.37%,292,2.27%,2867,2.22%,28217,2.19%
Reading Railroad,43,3.28%,388,3.02%,3987,3.09%,40553,3.14%
Oriental Avenue,25,1.91%,309,2.41%,2661,2.06%,26942,2.09%
Chance,24,1.83%,254,1.98%,2853,2.21%,27709,2.15%
Vermont Avenue,23,1.76%,291,2.27%,2797,2.17%,27980,2.17%
Connecticut Avenue,36,2.75%,279,2.17%,2806,2.17%,28115,2.18%
Jail,90,6.87%,777,6.05%,8112,6.28%,81420,6.30%
St. Charles Place,25,1.91%,276,2.15%,2777,2.15%,27542,2.13%
Electric Company,40,3.05%,330,2.57%,3253,2.52%,32320,2.50%
States Avenue,28,2.14%,288,2.24%,2891,2.24%,28860,2.23%
Virginia Avenue,29,2.21%,313,2.44%,2989,2.31%,30035,2.33%
Pennsylvania Railroad,23,1.76%,378,2.94%,3290,2.55%,33028,2.56%
St. James Place,42,3.21%,323,2.52%,3313,2.57%,33041,2.56%
Community Chest,33,2.52%,297,2.31%,3377,2.62%,33678,2.61%
Tennessee Avenue,32,2.44%,334,2.60%,3443,2.67%,33976,2.63%
New York Avenue,44,3.36%,362,2.82%,3657,2.83%,36581,2.83%
Free Parking,26,1.98%,337,2.62%,3328,2.58%,33709,2.61%
Kentucky Avenue,32,2.44%,328,2.55%,3291,2.55%,33345,2.58%
Chance,36,2.75%,325,2.53%,3342,2.59%,33354,2.58%
Indiana Avenue,35,2.67%,320,2.49%,3176,2.46%,32656,2.53%
Illinois Avenue,37,2.82%,401,3.12%,3946,3.06%,38024,2.94%
B. & O. Railroad,39,2.98%,350,2.73%,3340,2.59%,34160,2.65%
Atlantic Avenue,28,2.14%,330,2.57%,3233,2.50%,31808,2.46%
Ventnor Avenue,27,2.06%,303,2.36%,3140,2.43%,31614,2.45%
Water Works,38,2.90%,305,2.38%,3284,2.54%,33165,2.57%
Marvin Gardens,23,1.76%,304,2.37%,3027,2.34%,29796,2.31%
Go To Jail,26,1.98%,284,2.21%,3063,2.37%,30977,2.40%
Pacific Avenue,42,3.21%,298,2.32%,3171,2.46%,31221,2.42%
North Carolina Avenue,30,2.29%,301,2.34%,3019,2.34%,30578,2.37%
Community Chest,28,2.14%,320,2.49%,3034,2.35%,30761,2.38%
Pennsylvania Avenue,27,2.06%,281,2.19%,2948,2.28%,29241,2.26%
Short Line,39,2.98%,330,2.57%,3445,2.67%,34275,2.65%
Chance,31,2.37%,293,2.28%,2629,2.04%,27179,2.10%
Park Place,24,1.83%,256,1.99%,2596,2.01%,25828,2.00%
Luxury Tax,27,2.06%,238,1.85%,2572,1.99%,25815,2.00%
Boardwalk,26,1.98%,334,2.60%,3242,2.51%,31518,2.44%
