,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,31,2.39%,338,2.62%,3538,2.75%,34853,2.70%
Mediterranean Avenue,24,1.85%,291,2.26%,2614,2.03%,26112,2.02%
Community Chest,23,1.77%,264,2.05%,2573,2.00%,25321,1.96%
Baltic Avenue,25,1.93%,269,2.09%,2601,2.02%,26579,2.06%
Income Tax,32,2.47%,250,1.94%,2766,2.15%,28132,2.18%
Reading Railroad,34,2.62%,393,3.05%,3974,3.09%,40097,3.11%
Oriental Avenue,33,2.54%,272,2.11%,2720,2.11%,27075,2.10%
Chance,30,2.31%,256,1.99%,2806,2.18%,27684,2.15%
Vermont Avenue,26,2.00%,288,2.23%,2830,2.20%,28138,2.18%
Connecticut Avenue,15,1.16%,289,2.24%,2714,2.11%,28273,2.19%
Jail,84,6.48%,809,6.27%,8122,6.31%,80687,6.25%
St. Charles Place,34,2.62%,270,2.09%,2820,2.19%,27467,2.13%
Electric Company,35,2.70%,306,2.37%,3178,2.47%,32191,2.50%
States Avenue,26,2.00%,303,2.35%,2846,2.21%,29017,2.25%
Virginia Avenue,28,2.16%,262,2.03%,2943,2.28%,29694,2.30%
Pennsylvania Railroad,43,3.32%,355,2.75%,3292,2.56%,33212,2.57%
St. James Place,32,2.47%,322,2.50%,3324,2.58%,32847,2.55%
Community Chest,27,2.08%,340,2.64%,3306,2.57%,33801,2.62%
Tennessee Avenue,37,2.85%,346,2.68%,3486,2.71%,33758,2.62%
New York Avenue,49,3.78%,353,2.74%,3650,2.83%,36429,2.82%
Free Parking,26,2.00%,348,2.70%,3382,2.63%,33756,2.62%
Kentucky Avenue,26,2.00%,360,2.79%,3299,2.56%,33453,2.59%
Chance,32,2.47%,325,2.52%,3208,2.49%,32884,2.55%
Indiana Avenue,42,3.24%,324,2.51%,3193,2.48%,32259,2.50%
Illinois Avenue,38,2.93%,359,2.78%,3842,2.98%,38356,2.97%
B. & O. Railroad,27,2.08%,342,2.65%,3500,2.72%,34006,2.64%
Atlantic Avenue,34,2.62%,316,2.45%,3238,2.51%,31666,2.45%
Ventnor Avenue,36,2.78%,333,2.58%,3108,2.41%,31411,2.43%
Water Works,29,2.24%,316,2.45%,3234,2.51%,33050,2.56%
Marvin Gardens,39,3.01%,306,2.37%,3049,2.37%,30497,2.36%
Go To Jail,40,3.08%,328,2.54%,3097,2.40%,30430,2.36%
Pacific Avenue,25,1.93%,305,2.37%,3088,2.40%,31429,2.44%
North Carolina Avenue,35,2.70%,284,2.20%,3124,2.43%,30587,2.37%
Community Chest,30,2.31%,318,2.47%,3014,2.34%,30713,2.38%
Pennsylvania Avenue,24,1.85%,334,2.59%,2994,2.32%,29128,2.26%
Short Line,35,2.70%,324,2.51%,3382,2.63%,34175,2.65%
Chance,35,2.70%,259,2.01%,2657,2.06%,27533,2.13%
Park Place,21,1.62%,283,2.19%,2572,2.00%,25656,1.99%
Luxury Tax,24,1.85%,257,1.99%,2505,1.94%,26151,2.03%
Boardwalk,31,2.39%,299,2.32%,3226,2.50%,31615,2.45%
