,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,40,3.13%,357,2.78%,3513,2.72%,34770,2.70%
Mediterranean Avenue,30,2.35%,254,1.98%,2580,2.00%,25758,2.00%
Community Chest,29,2.27%,244,1.90%,2513,1.95%,25424,1.97%
Baltic Avenue,22,1.72%,268,2.09%,2615,2.03%,26135,2.03%
Income Tax,32,2.51%,271,2.11%,2861,2.22%,28262,2.19%
Reading Railroad,36,2.82%,411,3.20%,4025,3.12%,39849,3.09%
Oriental Avenue,24,1.88%,255,1.99%,2727,2.11%,27017,2.09%
Chance,30,2.35%,277,2.16%,2772,2.15%,27576,2.14%
Vermont Avenue,31,2.43%,287,2.24%,2815,2.18%,27894,2.16%
Connecticut Avenue,26,2.04%,294,2.29%,2800,2.17%,28538,2.21%
Jail,76,5.95%,781,6.08%,8070,6.25%,81194,6.29%
St. Charles Place,22,1.72%,297,2.31%,2826,2.19%,27594,2.14%
Electric Company,46,3.60%,306,2.38%,3280,2.54%,32411,2.51%
States Avenue,29,2.27%,289,2.25%,2861,2.22%,28959,2.24%
Virginia Avenue,35,2.74%,296,2.31%,3009,2.33%,29292,2.27%
Pennsylvania Railroad,24,1.88%,329,2.56%,3297,2.56%,33183,2.57%
St. James Place,37,2.90%,326,2.54%,3308,2.56%,32792,2.54%
Community Chest,26,2.04%,339,2.64%,3356,2.60%,33617,2.61%
Tennessee Avenue,43,3.37%,332,2.59%,3516,2.73%,34330,2.66%
New York Avenue,35,2.74%,363,2.83%,3575,2.77%,36230,2.81%
Free Parking,28,2.19%,348,2.71%,3284,2.55%,34003,2.64%
Kentucky Avenue,29,2.27%,326,2.54%,3352,2.60%,33436,2.59%
Chance,29,2.27%,315,2.45%,3276,2.54%,32711,2.54%
Indiana Avenue,31,2.43%,315,2.45%,3199,2.48%,32578,2.53%
Illinois Avenue,38,2.98%,397,3.09%,3866,3.00%,38106,2.95%
B. & O. Railroad,46,3.60%,342,2.66%,3390,2.63%,34125,2.65%
Atlantic Avenue,34,2.66%,282,2.20%,3134,2.43%,32089,2.49%
Ventnor Avenue,20,1.57%,305,2.38%,3202,2.48%,31378,2.43%
Water Works,31,2.43%,328,2.56%,3267,2.53%,32975,2.56%
Marvin Gardens,34,2.66%,325,2.53%,2991,2.32%,30150,2.34%
Go To Jail,27,2.11%,316,2.46%,3034,2.35%,31098,2.41%
Pacific Avenue,30,2.35%,321,2.50%,3117,2.42%,31035,2.41%
North Carolina Avenue,28,2.19%,313,2.44%,3111,2.41%,30577,2.37%
Community Chest,24,1.88%,274,2.13%,2985,2.31%,30838,2.39%
Pennsylvania Avenue,37,2.90%,305,2.38%,2947,2.28%,29104,2.26%
Short Line,28,2.19%,356,2.77%,3448,2.67%,34161,2.65%
Chance,27,2.11%,250,1.95%,2769,2.15%,26959,2.09%
Park Place,34,2.66%,257,2.00%,2575,2.00%,25836,2.00%
Luxury Tax,23,1.80%,280,2.18%,2607,2.02%,25995,2.02%
Boardwalk,26,2.04%,304,2.37%,3152,2.44%,31956,2.48%
