,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,26,1.99%,342,2.67%,3500,2.72%,35078,2.72%
Mediterranean Avenue,27,2.06%,267,2.09%,2555,1.98%,25874,2.00%
Community Chest,26,1.99%,254,1.98%,2458,1.91%,25310,1.96%
Baltic Avenue,35,2.68%,244,1.91%,2641,2.05%,25946,2.01%
Income Tax,24,1.83%,276,2.16%,2763,2.14%,28195,2.18%
Reading Railroad,42,3.21%,403,3.15%,4041,3.14%,40649,3.15%
Oriental Avenue,30,2.29%,294,2.30%,2743,2.13%,27333,2.12%
Chance,27,2.06%,265,2.07%,2710,2.10%,28166,2.18%
Vermont Avenue,32,2.45%,250,1.95%,2763,2.14%,27983,2.17%
Connecticut Avenue,24,1.83%,294,2.30%,2858,2.22%,27987,2.17%
Jail,89,6.80%,811,6.33%,8096,6.28%,81099,6.28%
St. Charles Place,23,1.76%,298,2.33%,2731,2.12%,27405,2.12%
Electric Company,29,2.22%,334,2.61%,3203,2.49%,32284,2.50%
States Avenue,36,2.75%,276,2.16%,2883,2.24%,28840,2.23%
Virginia Avenue,36,2.75%,262,2.05%,3020,2.34%,29671,2.30%
Pennsylvania Railroad,32,2.45%,319,2.49%,3292,2.56%,33133,2.57%
St. James Place,26,1.99%,339,2.65%,3308,2.57%,33150,2.57%
Community Chest,26,1.99%,328,2.56%,3396,2.64%,33582,2.60%
Tennessee Avenue,44,3.36%,339,2.65%,3332,2.59%,34008,2.63%
New York Avenue,33,2.52%,366,2.86%,3687,2.86%,36253,2.81%
Free Parking,43,3.29%,334,2.61%,3366,2.61%,33993,2.63%
Kentucky Avenue,34,2.60%,304,2.37%,3386,2.63%,33518,2.60%
Chance,32,2.45%,321,2.51%,3125,2.43%,33109,2.56%
Indiana Avenue,33,2.52%,332,2.59%,3265,2.53%,32369,2.51%
Illinois Avenue,32,2.45%,360,2.81%,3854,2.99%,38152,2.96%
B. & O. Railroad,33,2.52%,375,2.93%,3416,2.65%,34449,2.67%
Atlantic Avenue,39,2.98%,307,2.40%,3168,2.46%,31602,2.45%
Ventnor Avenue,29,2.22%,299,2.34%,3240,2.51%,31399,2.43%
Water Works,27,2.06%,324,2.53%,3229,2.51%,33121,2.57%
Marvin Gardens,36,2.75%,331,2.59%,3069,2.38%,30157,2.34%
Go To Jail,33,2.52%,299,2.34%,3127,2.43%,30742,2.38%
Pacific Avenue,25,1.91%,284,2.22%,3058,2.37%,31167,2.41%
North Carolina Avenue,25,1.91%,317,2.48%,3043,2.36%,30506,2.36%
Community Chest,41,3.13%,310,2.42%,3079,2.39%,30704,2.38%
Pennsylvania Avenue,31,2.37%,294,2.30%,2928,2.27%,29014,2.25%
Short Line,32,2.45%,342,2.67%,3402,2.64%,34511,2.67%
Chance,35,2.68%,289,2.26%,2776,2.15%,27269,2.11%
Park Place,33,2.52%,246,1.92%,2484,1.93%,25704,1.99%
Luxury Tax,22,1.68%,255,1.99%,2696,2.09%,25780,2.00%
Boardwalk,26,1.99%,318,2.48%,3147,2.44%,31792,2.46%
