,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,36,2.84%,348,2.69%,3435,2.66%,34919,2.71%
Mediterranean Avenue,29,2.29%,256,1.98%,2682,2.08%,25914,2.01%
Community Chest,27,2.13%,262,2.03%,2511,1.95%,25525,1.98%
Baltic Avenue,33,2.60%,255,1.97%,2650,2.05%,26082,2.02%
Income Tax,22,1.73%,276,2.14%,2746,2.13%,28082,2.18%
Reading Railroad,38,2.99%,400,3.10%,4006,3.10%,40193,3.12%
Oriental Avenue,28,2.21%,264,2.04%,2786,2.16%,27261,2.11%
Chance,23,1.81%,241,1.87%,2737,2.12%,27676,2.15%
Vermont Avenue,38,2.99%,277,2.14%,2796,2.17%,28046,2.17%
Connecticut Avenue,26,2.05%,287,2.22%,2757,2.14%,28238,2.19%
Jail,67,5.28%,848,6.56%,8169,6.33%,80953,6.27%
St. Charles Place,25,1.97%,268,2.07%,2757,2.14%,27610,2.14%
Electric Company,39,3.07%,312,2.41%,3281,2.54%,32060,2.48%
States Avenue,33,2.60%,298,2.31%,2887,2.24%,29080,2.25%
Virginia Avenue,31,2.44%,253,1.96%,3048,2.36%,29565,2.29%
Pennsylvania Railroad,22,1.73%,353,2.73%,3287,2.55%,33098,2.57%
St. James Place,31,2.44%,373,2.89%,3243,2.51%,33034,2.56%
Community Chest,30,2.36%,326,2.52%,3395,2.63%,33480,2.59%
Tennessee Avenue,30,2.36%,322,2.49%,3411,2.64%,34255,2.65%
New York Avenue,39,3.07%,359,2.78%,3577,2.77%,36282,2.81%
Free Parking,40,3.15%,359,2.78%,3482,2.70%,34119,2.64%
Kentucky Avenue,25,1.97%,329,2.55%,3246,2.52%,33025,2.56%
Chance,29,2.29%,359,2.78%,3253,2.52%,32616,2.53%
Indiana Avenue,25,1.97%,338,2.62%,3260,2.53%,32483,2.52%
Illinois Avenue,42,3.31%,380,2.94%,3776,2.93%,38316,2.97%
B. & O. Railroad,40,3.15%,332,2.57%,3479,2.70%,34267,2.66%
Atlantic Avenue,31,2.44%,300,2.32%,3242,2.51%,32001,2.48%
Ventnor Avenue,32,2.52%,307,2.38%,3069,2.38%,31418,2.44%
Water Works,24,1.89%,346,2.68%,3291,2.55%,32757,2.54%
Marvin Gardens,36,2.84%,303,2.35%,3068,2.38%,30420,2.36%
Go To Jail,19,1.50%,314,2.43%,3121,2.42%,30625,2.37%
Pacific Avenue,34,2.68%,310,2.40%,3148,2.44%,31225,2.42%
North Carolina Avenue,34,2.68%,316,2.45%,3055,2.37%,30730,2.38%
Community Chest,29,2.29%,305,2.36%,3018,2.34%,30579,2.37%
Pennsylvania Avenue,27,2.13%,283,2.19%,2948,2.28%,29366,2.28%
Short Line,39,3.07%,339,2.62%,3361,2.60%,34193,2.65%
Chance,32,2.52%,295,2.28%,2732,2.12%,27180,2.11%
Park Place,29,2.29%,260,2.01%,2629,2.04%,25816,2.00%
Luxury Tax,21,1.65%,249,1.93%,2576,2.00%,26064,2.02%
Boardwalk,34,2.68%,319,2.47%,3148,2.44%,31698,2.46%
